"trial","ref_position","var_area","response","correct","rt"
1,"R",9.1611279414501,"L",TRUE,29.9969999790192
2,"R",14.3552450002171,"L",TRUE,1.69799995422363
3,"L",12.1243052771315,"R",TRUE,2.29699993133545
4,"L",12.7235994176008,"R",TRUE,1.78999996185303
5,"L",11.4448202422354,"R",TRUE,1.00399994850159
6,"L",8.83718034997582,"R",FALSE,0.891999959945679
7,"R",13.6473084434401,"R",FALSE,0.995999813079834
8,"R",10.3329175100662,"L",TRUE,0.789000034332275
9,"R",9.46188758825883,"R",FALSE,0.791000127792358
10,"R",12.6633347379975,"L",TRUE,1.09700012207031
11,"L",13.4876861530356,"R",TRUE,0.996000051498413
12,"L",13.935659450246,"R",TRUE,0.889999866485596
13,"R",13.0065676344093,"L",TRUE,0.891999959945679
14,"L",14.7497932044789,"R",TRUE,0.894999980926514
15,"L",12.3142641980667,"R",TRUE,1.19700002670288
16,"R",13.0301527159754,"L",TRUE,1.1949999332428
17,"L",13.7382083714474,"R",TRUE,0.993000030517578
18,"L",10.7931419501547,"R",TRUE,1.59299993515015
19,"L",12.7122160564177,"R",TRUE,1.29400014877319
20,"R",12.0666868425906,"L",TRUE,1.59200000762939